idx,price,beds,bath,sqft,lot_size,address,lat,long
0,0,775000.0,2.0,2.0,1025.0,,"350 11th Ave Unit 725, San Diego, CA 92101",32.7088486,-117.1550768
1,1,309900.0,1.0,1.0,507.0,1.57,"859 W San Ysidro Blvd Unit 9, San Ysidro, CA 92173",32.5596598,-117.0606557
2,2,1349000.0,4.0,2.5,2068.0,,"11888 Miro Cir, San Diego, CA 92131",32.9194903,-117.1059077
3,3,875000.0,2.0,2.0,1100.0,,"4944 Cass St Unit 903, San Diego, CA 92109",32.8044541,-117.2544787
4,4,2200000.0,14.0,14.0,4242.0,5372.0,"4046 Honeycutt St, San Diego, CA 92109",32.79458839999999,-117.2326583
5,5,1935900.0,4.0,4.5,3520.0,,"11051 Mont Blanc Drive, San Diego, CA 92126",32.8988319,-117.165077
6,6,1264900.0,4.0,4.0,2464.0,,"10504 Cara Cara Drive, San Diego, CA 92126",32.8955398,-117.1610333
7,7,1254900.0,4.0,4.0,2464.0,,"10504 Cara Cara Drive, San Diego, CA 92126",32.8955398,-117.1610333
8,8,1840900.0,4.0,4.5,3341.0,,"11051 Mont Blanc Drive, San Diego, CA 92126",32.8988319,-117.165077
9,9,1289900.0,4.0,4.0,2460.0,,"10504 Cara Cara Drive, San Diego, CA 92126",32.8955398,-117.1610333
10,10,2227900.0,5.0,4.5,3643.0,,"11051 Mont Blanc Drive, San Diego, CA 92126",32.8988319,-117.165077
11,11,1810900.0,4.0,4.5,3157.0,,"11051 Mont Blanc Drive, San Diego, CA 92126",32.8988319,-117.165077
12,12,4966000.0,3.0,2.0,3064.0,0.32,"7170 Encelia Dr, La Jolla, CA 92037",32.8393919,-117.2577601
13,13,968000.0,2.0,2.0,1770.0,0.29,"16171 Selva Dr, Sandiego San Diego, CA 92128",33.0062464,-117.0615484
14,14,799900.0,4.0,3.0,1340.0,5300.0,"2595 Elm Ave, San Diego, CA 92154",32.5799078,-117.0777763
15,15,724000.0,4.0,2.0,1484.0,0.98,"1909 Mesa Hills Ct, San Diego, CA 92114",32.6914642,-117.0460549
16,16,12990000.0,7.0,8.5,9726.0,0.5,"744 Muirlands Vista Way, La Jolla, CA 92037",32.8260565,-117.269862
17,17,643000.0,4.0,3.0,1701.0,2617.0,"1223 Manzana Way, San Diego, CA 92139",32.6932711,-117.0260083
18,18,499000.0,2.0,1.5,866.0,,"6555 Mount Ada Rd Unit 119, San Diego, CA 92111",32.8190558,-117.1734337
19,19,1249000.0,5.0,3.5,2246.0,0.3,"6328 Lake Shore Dr, San Diego, CA 92119",32.7954557,-117.0366066
20,20,1425000.0,4.0,2.0,2068.0,7400.0,"10079 Wildlife Rd, San Diego, CA 92131",32.9083102,-117.0814998
21,21,812000.0,3.0,2.5,1566.0,5500.0,"7441 Westbrook Ave, San Diego, CA 92139",32.6839775,-117.0281233
